Round,North_Number,North_Suit,South_Number,South_Suit,Briscola_Number,Briscola_Suit,Leader,Winner,Points
1,2,coins,6,clubs,3,cups,South,South,0
2,6,cups,3,cups,3,cups,South,South,10
3,7,clubs,5,coins,3,cups,South,South,0
4,10,coins,1,cups,3,cups,South,South,15
5,3,coins,10,spades,3,cups,South,South,14
6,4,coins,2,cups,3,cups,South,South,0
7,9,coins,7,cups,3,cups,South,South,3
8,2,clubs,3,clubs,3,cups,South,South,10
9,1,spades,9,clubs,3,cups,South,South,14
10,6,coins,4,clubs,3,cups,South,South,0
11,5,cups,10,cups,3,cups,South,South,4
12,4,cups,8,cups,3,cups,South,South,2
13,7,coins,2,spades,3,cups,South,South,0
14,8,clubs,8,spades,3,cups,South,South,4
15,1,clubs,9,cups,3,cups,South,South,14
16,6,spades,8,coins,3,cups,South,South,2
17,10,clubs,3,spades,3,cups,South,South,14
18,4,spades,5,clubs,3,cups,South,South,0
19,5,spades,1,coins,3,cups,South,South,11
20,9,spades,7,spades,3,cups,South,North,3
